name,dr2,ci_lo,ci_hi,r2_fine,r2_coarse
dW,0.3924268311732307,0.36549266675680137,0.4175724213885122,0.39294714107051976,0.0010737073630867622
dW_norm,0.3654292642324059,0.3401781915709478,0.38865449579006034,0.36860506448898145,0.0038348931529360586
future_topshare,0.12255753187529567,0.10418227233446824,0.14094590073364982,0.2782853192233753,0.1546413089833567
future_changed_sites,0.06144744588982377,0.05264108904146711,0.06996116781275262,0.9437308573679934,0.8825469961297506
future_changed_frac,0.061353256910817666,0.05189697917619203,0.07130985068133706,0.9437211118748103,0.8822761804385533
