name,dr2,ci_lo,ci_hi,r2
E,0.17946056065423904,0.15388583586786553,0.20677261247284556,0.18057432039197452
E_ge3,0.30655775208231695,0.2809380151038032,0.3309948264932148,0.30816798492647024
J,0.0108045690246065,0.0050009087597055885,0.016786884978697406,0.015146448151363345
E_ge3_plus_J,0.3909432706400963,0.36665667024452064,0.4178750963584629,0.393393866526478
E_plus_J,0.22850501669275589,0.1995705289645279,0.2525125051310593,0.22890590517449183
minority,0.000281571160973747,-0.0017816133180311889,0.0024141682976965007,-0.0009070571706621955
