eps,aligned_gap,aligned_lo,aligned_hi,misaligned_gap,misaligned_lo,misaligned_hi,dM_aligned,dM_lo,dM_hi,sign_flip
0.0,1.0753333333333333,-0.8567333333333333,3.0394499999999995,-0.262,-1.9896333333333331,1.6740333333333322,-0.0007135416666666667,-0.0014871337890624999,0.0002840861002604166,False
0.02,2.6493333333333333,0.63595,4.723466666666666,-5.778666666666667,-7.4971499999999995,-3.8661333333333343,-0.0006165364583333333,-0.0016166707356770834,0.0003326090494791666,True
0.05,3.208,1.32985,5.1080999999999985,-14.392,-16.421883333333334,-12.455633333333333,-0.001005859375,-0.0019116577148437501,-0.00028534749348958435,True
0.1,2.4566666666666666,0.4297166666666667,4.667366666666667,-29.24266666666667,-31.334816666666665,-27.50015,-0.00032958984375,-0.0012320149739583335,0.0005702840169270828,True
0.2,3.727333333333333,1.7919333333333334,5.794733333333333,-66.90733333333333,-68.98096666666666,-64.78636666666667,-0.0011931966145833333,-0.002034358723958333,-0.00026637369791666704,True
